ORIGIN_STATE_NM,DEST_STATE_NM,PASSENGERS
Alabama,Alabama,146.0
Alabama,Arizona,1.0
Alabama,Arkansas,6.0
Alabama,California,187.0
Alabama,Colorado,777.0
Alabama,Florida,3467.0
Alabama,Georgia,19319.0
Alabama,Illinois,3607.0
Alabama,Indiana,3.0
Alabama,Iowa,2.0
Alabama,Kentucky,15.0
Alabama,Louisiana,51.0
Alabama,Maryland,1779.0
Alabama,Massachusetts,1.0
Alabama,Michigan,1292.0
Alabama,Minnesota,275.0
Alabama,Mississippi,53.0
Alabama,Missouri,73.0
Alabama,Nebraska,3.0
Alabama,Nevada,1097.0
Alabama,New Jersey,1.0
Alabama,New Mexico,21.0
Alabama,New York,687.0
Alabama,North Carolina,7562.0
Alabama,Ohio,31.0
Alabama,Oklahoma,1.0
Alabama,Oregon,1.0
Alabama,Pennsylvania,263.0
Alabama,Puerto Rico,1.0
Alabama,Rhode Island,10.0
Alabama,South Carolina,10.0
Alabama,Tennessee,107.0
Alabama,Texas,13231.0
Alabama,Virginia,2215.0
Alabama,Washington,10.0
Alabama,Wisconsin,10.0
Alaska,Alaska,40472.0
Alaska,Arizona,1125.0
Alaska,California,3477.0
Alaska,Colorado,2503.0
Alaska,Georgia,785.0
Alaska,Hawaii,753.0
Alaska,Idaho,1.0
Alaska,Illinois,3119.0
Alaska,Massachusetts,84.0
Alaska,Minnesota,5676.0
Alaska,Missouri,2.0
Alaska,Nevada,517.0
Alaska,New Jersey,86.0
Alaska,Oregon,4194.0
Alaska,Texas,2189.0
Alaska,Utah,939.0
Alaska,Virginia,1.0
Alaska,Washington,41472.0
Arizona,Alabama,94.0
Arizona,Alaska,1023.0
Arizona,Arizona,17533.0
Arizona,Arkansas,1061.0
Arizona,California,128377.0
Arizona,Colorado,30122.0
Arizona,Connecticut,3.0
Arizona,Florida,10575.0
Arizona,Georgia,15872.0
Arizona,Hawaii,11831.0
Arizona,Idaho,3251.0
Arizona,Illinois,26610.0
Arizona,Indiana,4828.0
Arizona,Iowa,2270.0
Arizona,Kansas,390.0
Arizona,Kentucky,1147.0
Arizona,Louisiana,1172.0
Arizona,Maryland,6160.0
Arizona,Massachusetts,5509.0
Arizona,Michigan,10008.0
Arizona,Minnesota,14117.0
Arizona,Missouri,12437.0
Arizona,Montana,1509.0
Arizona,Nebraska,3534.0
Arizona,Nevada,25555.0
Arizona,New Hampshire,14.0
Arizona,New Jersey,7443.0
Arizona,New Mexico,8139.0
Arizona,New York,8407.0
Arizona,North Carolina,14351.0
Arizona,North Dakota,1701.0
Arizona,Ohio,3794.0
Arizona,Oklahoma,3474.0
Arizona,Oregon,12306.0
Arizona,Pennsylvania,13975.0
Arizona,Puerto Rico,110.0
Arizona,Rhode Island,174.0
Arizona,South Carolina,193.0
Arizona,South Dakota,1075.0
Arizona,Tennessee,2189.0
Arizona,Texas,54794.0
Arizona,Utah,17476.0
Arizona,Virginia,4875.0
Arizona,Washington,20673.0
Arizona,Wisconsin,4143.0
Arizona,Wyoming,5.0
Arkansas,Alabama,5.0
Arkansas,Arizona,967.0
Arkansas,Arkansas,95.0
Arkansas,California,968.0
Arkansas,Colorado,1757.0
Arkansas,Connecticut,2.0
Arkansas,Florida,653.0
Arkansas,Georgia,8598.0
Arkansas,Illinois,5928.0
Arkansas,Indiana,3.0
Arkansas,Iowa,3.0
Arkansas,Kansas,2.0
Arkansas,Kentucky,280.0
Arkansas,Louisiana,89.0
Arkansas,Maryland,660.0
Arkansas,Michigan,739.0
Arkansas,Minnesota,764.0
Arkansas,Mississippi,8.0
Arkansas,Missouri,49.0
Arkansas,Montana,1.0
Arkansas,Nevada,1471.0
Arkansas,New Hampshire,11.0
Arkansas,New Jersey,204.0
Arkansas,New Mexico,51.0
Arkansas,New York,949.0
Arkansas,North Carolina,2949.0
Arkansas,Ohio,23.0
Arkansas,Oklahoma,50.0
Arkansas,Oregon,8.0
Arkansas,Pennsylvania,1.0
Arkansas,South Carolina,10.0
Arkansas,Tennessee,61.0
Arkansas,Texas,16290.0
Arkansas,Utah,1.0
Arkansas,Virginia,7.0
Arkansas,Washington,25.0
Arkansas,Wisconsin,2.0
California,Alabama,147.0
California,Alaska,3362.0
California,Arizona,128265.0
California,Arkansas,1000.0
California,California,493583.0
California,Colorado,102029.0
California,Connecticut,782.0
California,Florida,34799.0
California,Georgia,54899.0
California,Hawaii,94204.0
California,Idaho,7525.0
California,Illinois,104184.0
California,Indiana,3004.0
California,Iowa,754.0
California,Kansas,673.0
California,Kentucky,3539.0
California,Louisiana,7463.0
California,Maine,3.0
California,Maryland,11122.0
California,Massachusetts,38957.0
California,Michigan,20294.0
California,Minnesota,37895.0
California,Mississippi,1.0
California,Missouri,18322.0
California,Montana,3079.0
California,Nebraska,966.0
California,Nevada,124603.0
California,New Hampshire,94.0
California,New Jersey,39462.0
California,New Mexico,9249.0
California,New York,75928.0
California,North Carolina,23582.0
California,North Dakota,277.0
California,Ohio,7476.0
California,Oklahoma,2026.0
California,Oregon,69938.0
California,Pennsylvania,24067.0
California,Puerto Rico,33.0
California,Rhode Island,217.0
California,South Carolina,43.0
California,South Dakota,293.0
California,Tennessee,7687.0
California,Texas,171226.0
California,U.S. Pacific Trust Territories and Possessions,1.0
California,Utah,54245.0
California,Virginia,37265.0
California,Washington,124567.0
California,Wisconsin,3566.0
California,Wyoming,713.0
Colorado,Alabama,852.0
Colorado,Alaska,2327.0
Colorado,Arizona,29377.0
Colorado,Arkansas,1723.0
Colorado,California,105123.0
Colorado,Colorado,35458.0
Colorado,Connecticut,1382.0
Colorado,Delaware,842.0
Colorado,Florida,21755.0
Colorado,Georgia,18913.0
Colorado,Hawaii,2732.0
Colorado,Idaho,7264.0
Colorado,Illinois,34745.0
Colorado,Indiana,7059.0
Colorado,Iowa,6806.0
Colorado,Kansas,2782.0
Colorado,Kentucky,5068.0
Colorado,Louisiana,5137.0
Colorado,Maine,11.0
Colorado,Maryland,7140.0
Colorado,Massachusetts,10609.0
Colorado,Michigan,13417.0
Colorado,Minnesota,21510.0
Colorado,Missouri,23135.0
Colorado,Montana,13021.0
Colorado,Nebraska,10393.0
Colorado,Nevada,26576.0
Colorado,New Hampshire,89.0
Colorado,New Jersey,9844.0
Colorado,New Mexico,5479.0
Colorado,New York,15896.0
Colorado,North Carolina,11268.0
Colorado,North Dakota,8160.0
Colorado,Ohio,10624.0
Colorado,Oklahoma,11237.0
Colorado,Oregon,17175.0
Colorado,Pennsylvania,14154.0
Colorado,Puerto Rico,32.0
Colorado,Rhode Island,79.0
Colorado,South Carolina,126.0
Colorado,South Dakota,5915.0
Colorado,Tennessee,10561.0
Colorado,Texas,74228.0
Colorado,Utah,20779.0
Colorado,Vermont,1.0
Colorado,Virginia,17439.0
Colorado,Washington,30807.0
Colorado,West Virginia,1.0
Colorado,Wisconsin,10145.0
Colorado,Wyoming,7380.0
Connecticut,Alabama,1.0
Connecticut,Arizona,53.0
Connecticut,California,802.0
Connecticut,Colorado,1349.0
Connecticut,Connecticut,17.0
Connecticut,Florida,12120.0
Connecticut,Georgia,9843.0
Connecticut,Hawaii,7.0
Connecticut,Illinois,9122.0
Connecticut,Indiana,25.0
Connecticut,Kentucky,761.0
Connecticut,Louisiana,41.0
Connecticut,Maine,47.0
Connecticut,Maryland,6775.0
Connecticut,Massachusetts,262.0
Connecticut,Michigan,3851.0
Connecticut,Minnesota,3226.0
Connecticut,Missouri,188.0
Connecticut,Nebraska,1.0
Connecticut,Nevada,1149.0
